date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-19 12:07:57,AfDimBundestag,,19,86,291,"""Kein #Merkel-#Macron-Wiederaufbaufonds auf Kosten unserer Kinder und Enkel!"" Das fordern @Beatrix_vStorch und @PeterBoehringer, angesichts dessen, dass Deutschland ab 2021 andere EU-Staaten mittels des sog. EU-Wiederaufbaufonds unterstützen soll. #Corona ",,@Beatrix_vStorch @PeterBoehringer,#Merkel #Macron #Corona,1262716621388472320,https://twitter.com/AfDimBundestag/status/1262716621388472320
2020-05-18 10:10:05,Linksfraktion,,2,6,49,"Der Anspruch auf #Corona-#Elterngeld soll nach und nach auslaufen. ""Es ist absolut unverständlich, dass die #Lohnfortzahlung für #Eltern nach sechs Wochen ausläuft, obwohl ein vollständiger Betrieb von #Kitas und #Schulen derzeit nicht in Sicht ist"", sagt @Katrin_Werner.",,@Katrin_Werner,#Corona #Elterngeld #Lohnfortzahlung #Eltern #Kitas #Schulen,1262324571476295681,https://twitter.com/Linksfraktion/status/1262324571476295681
2020-05-15 14:26:04,AfDimBundestag,,175,248,785,"Stellv. Vorsitzender der #AfD-Fraktion im Deutschen #Bundestag, @Tino_Chrupalla, zum Untersuchungssausschuss #Corona: ""Wir haben den dringenden Verdacht, dass man uns und Sie, liebe Bürgerinnen und Bürger, getäuscht hat!"" ",,@Tino_Chrupalla,#AfD #Bundestag #Corona,1261301830128148482,https://twitter.com/AfDimBundestag/status/1261301830128148482
2020-05-15 14:13:03,AfDimBundestag,,4,8,34,"Gesundheitsminister @jensspahn möchte durch das „Zweite Gesetz zum Schutz der Bevölkerung bei einer epidemischen Lage von nationaler Tragweite“ die Menschen vor einer Infektion mit #Corona schützen. @DrRobbySchlund kommentiert hierzu wie folgt: https://www.afdbundestag.de/schlund-spahns-gesetzentwurf-zur-corona-bekaempfung-laesst-deutschland-im-krisenmodus-verharren/ #AfD",,@jensspahn @DrRobbySchlund,#Corona #AfD,1261298553932128256,https://twitter.com/AfDimBundestag/status/1261298553932128256
2020-05-15 12:46:52,Linksfraktion,,0,8,9,"Pia Zimmermann: Warum sollte abendlicher Applaus der angemessene#Lohn für eine gut qualifizierte Fachkraft sein? #Pflegekräfte verdienen mehr! - https://www.youtube.com/watch?v=PcKm7B_XpK8 #Pflege #Corona",,,#Pflegekr #Pflege #Corona,1261276866226380801,https://twitter.com/Linksfraktion/status/1261276866226380801
2020-05-15 08:50:22,AfDimBundestag,,1,10,44,"Regierung will völlig überzogene #Corona-Maßnahmen kaschieren! ""Das Planungssicherstellungsgesetz beruht nicht auf dem Willen das Land voranzubringen!"", @MarcBernhardAfD. #AfD #Bundestag",,@MarcBernhardAfD,#Corona #AfD #Bundestag,1261217345470640128,https://twitter.com/AfDimBundestag/status/1261217345470640128
2020-05-14 16:40:15,AfDimBundestag,,2,15,65,"+++ Kein Gutschein-Zwang in der #Corona-Krise! +++ ""Die Verbraucher müssen selbst entscheiden können, ob sie für eine nicht erbrachte Leistung eine Erstattung oder einen #Gutschein bekommen"", @ProfMaier. #AfD #Bundestag",,@ProfMaier,#Corona #Gutschein #AfD #Bundestag,1260973209400287235,https://twitter.com/AfDimBundestag/status/1260973209400287235
2020-05-14 16:32:40,Linksfraktion,,15,22,74,"Die #Corona-Krise reißt 100-Milliarden-Euro-Loch in die Finanzen von Bund, Ländern und Gemeinden. @LoetzschMdB fordert eine Vermögensabgabe auf sehr große Vermögen. Ganzes Statement: https://www.youtube.com/watch?v=u14q3NpU_II",,@LoetzschMdB,#Corona,1260971300388044805,https://twitter.com/Linksfraktion/status/1260971300388044805
2020-05-14 13:45:01,AfDimBundestag,,30,142,428,"+++BMI-Leak: Diffamierungen gegen Mitarbeiter und Demonstranten!+++ Innenpolitischer Sprecher der #AfD-Fraktion im #Bundestag @GottfriedCurio zum #BMI-Leak und den #Corona-Einschränkungen durch die Regierung. ",,@GottfriedCurio,#AfD #Bundestag #BMI #Corona,1260929109229629442,https://twitter.com/AfDimBundestag/status/1260929109229629442
2020-05-14 13:15:32,Linksfraktion,,2,5,18,"Statt immer nur Autogipfel: DIE LINKE fordert einen #Kindergipfel im #Kanzleramt. Für die gesellschaftliche Teilhabe von Kindern in Zeiten der #Corona-Pandemie. Dafür warb @Norbert_MdB in seiner heutigen Rede im Bundestag. https://www.youtube.com/watch?v=R6roobKguXg #Kinderrechte",,@Norbert_MdB,#Kindergipfel #Kanzleramt #Corona #Kinderrechte,1260921689434722304,https://twitter.com/Linksfraktion/status/1260921689434722304
